CORSICA             0000013110000006000010000011
DENMARK             0000006666000010000010000050
FRANCE              0000055621000011000010000000
ICELAND             0000009999000003000003000000
IRAN                0000094198000007000006000003
ISRAEL              0000102190000010000000000000
ITALY               0000022722000002000000000000
LEBANON             0000055108000005000013000004
LIBYA               0001333320000000000020000000
NEW ZEALAND         0000033333000001000000000000
SICILY              0000004000000001000000000001
SWEDEN              0000000555000005000005000000
